"時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","都道府県・市部－郡部－市区町村別 コード","都道府県・市部－郡部－市区町村別 補助コード","都道府県・市部－郡部－市区町村別","/人口動態総覧","出生数【人】","2500g未満出生数【人】","死亡数【人】","乳児（１歳未満）死亡数【人】","新生児（生後4週未満）死亡数【人】","自然死産数【胎】","人工死産数【胎】","周産期死亡数【胎・人】","妊娠満22週以後の死産数【胎】","早期新生児（生後1週未満）死亡数【人】","婚姻件数【組】","離婚件数【組】"
"2023000000","","2023年","02446","","階上町","","48","3","216","1","1","1","-","1","-","1","21","20"
"2023000000","","2023年","02450","","新郷村","","2","1","57","-","-","-","-","-","-","-","5","-"
"2023000000","","2023年","03000","","岩手県","","5,432","488","19,612","12","3","61","63","17","14","3","3,376","1,488"
"2023000000","","2023年","03010","","市部","","4,636","424","15,823","9","1","51","52","12","11","1","2,922","1,248"
"2023000000","","2023年","03020","","郡部","","796","64","3,789","3","2","10","11","5","3","2","454","240"
"2023000000","","2023年","03201","","盛岡市","","1,596","140","3,737","6","-","11","16","5","5","-","1,022","377"
"2023000000","","2023年","03202","","宮古市","","215","15","982","-","-","4","2","1","1","-","108","52"
"2023000000","","2023年","03203","","大船渡市","","126","8","614","-","-","-","-","-","-","-","103","47"
"2023000000","","2023年","03205","","花巻市","","405","38","1,590","1","-","2","2","-","-","-","249","108"
"2023000000","","2023年","03206","","北上市","","499","52","1,215","-","-","7","9","2","2","-","343","159"
"2023000000","","2023年","03207","","久慈市","","137","13","547","-","-","3","-","-","-","-","81","45"
"2023000000","","2023年","03208","","遠野市","","93","5","523","-","-","1","2","-","-","-","54","27"
"2023000000","","2023年","03209","","一関市","","451","47","2,117","1","-","8","6","1","1","-","274","132"
"2023000000","","2023年","03210","","陸前高田市","","61","6","364","-","-","-","-","-","-","-","43","15"
"2023000000","","2023年","03211","","釜石市","","119","10","631","-","-","2","1","-","-","-","77","35"
"2023000000","","2023年","03213","","二戸市","","99","8","473","-","-","1","1","-","-","-","63","20"
"2023000000","","2023年","03214","","八幡平市","","56","3","458","-","-","-","1","-","-","-","35","21"
"2023000000","","2023年","03215","","奥州市","","458","51","2,011","1","1","3","11","2","1","1","291","125"
"2023000000","","2023年","03216","","滝沢市","","321","28","561","-","-","9","1","1","1","-","179","85"
"2023000000","","2023年","03301","","雫石町","","44","2","275","-","-","-","-","-","-","-","34","11"
"2023000000","","2023年","03302","","葛巻町","","11","1","150","-","-","-","-","-","-","-","6","7"
"2023000000","","2023年","03303","","岩手町","","39","6","235","-","-","-","1","-","-","-","28","15"
"2023000000","","2023年","03321","","紫波町","","186","16","450","-","-","3","1","-","-","-","78","40"
"2023000000","","2023年","03322","","矢巾町","","143","8","291","1","-","3","2","2","2","-","92","29"
"2023000000","","2023年","03366","","西和賀町","","7","-","134","-","-","-","-","-","-","-","6","7"
"2023000000","","2023年","03381","","金ケ崎町","","83","7","208","1","1","1","2","1","-","1","45","22"
"2023000000","","2023年","03402","","平泉町","","25","3","147","-","-","1","-","-","-","-","12","8"
"2023000000","","2023年","03441","","住田町","","14","1","131","-","-","-","1","-","-","-","13","3"
"2023000000","","2023年","03461","","大槌町","","36","2","213","-","-","1","-","-","-","-","26","15"
"2023000000","","2023年","03482","","山田町","","60","5","257","1","1","-","-","1","-","1","27","22"
"2023000000","","2023年","03483","","岩泉町","","20","1","226","-","-","-","-","-","-","-","15","12"
"2023000000","","2023年","03484","","田野畑村","","10","3","58","-","-","-","-","-","-","-","3","5"
