種類,価格情報区分,area_code,都道府県名,地区名,最寄駅：名称,distance,price,間取り,面積（㎡）,built_year,建物の構造,用途,今後の利用目的,都市計画,建ぺい率（％）,容積率（％）,year,改装,取引の事情等,時間軸(年次) 補助コード,都道府県・市部－郡部－市区町村別 補助コード,出生数【人】,2500g未満出生数【人】,死亡数【人】,乳児（１歳未満）死亡数【人】,新生児（生後4週未満）死亡数【人】,自然死産数【胎】,人工死産数【胎】,周産期死亡数【胎・人】,妊娠満22週以後の死産数【胎】,早期新生児（生後1週未満）死亡数【人】,婚姻件数【組】,離婚件数【組】
中古マンション等,不動産取引価格情報,27208,大阪府,小瀬,蛸地蔵,8,5300000,３ＤＫ,55,1991,ＲＣ,住宅,住宅,１種住居,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,小瀬,蛸地蔵,8,6500000,,65,1991,ＲＣ,住宅,住宅,１種住居,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,15,600000,,45,1976,ＲＣ,住宅,その他,１種住居,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,15,1700000,３ＤＫ,45,1976,ＲＣ,住宅,住宅,１種住居,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,11,9900000,３ＬＤＫ,65,1995,ＲＣ,住宅,住宅,１中住専,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,10,6500000,,60,1995,ＲＣ,,住宅,１中住専,60,200,2023,,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,14,3200000,２ＬＤＫ,45,1976,ＲＣ,,住宅,１種住居,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,14,2900000,３ＬＤＫ,45,1976,ＲＣ,住宅,住宅,１種住居,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,11,9300000,３ＬＤＫ,65,1995,ＲＣ,,住宅,１種住居,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,11,5500000,,65,1995,ＲＣ,住宅,住宅,１中住専,60,200,2021,,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,11,7600000,３ＬＤＫ,65,1995,ＲＣ,,住宅,１中住専,60,200,2021,未改装,調停・競売等,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,7,4300000,３ＬＤＫ,65,1995,ＲＣ,住宅,その他,１中住専,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,9,8600000,２ＤＫ＋Ｓ,60,1995,ＲＣ,住宅,住宅,１中住専,60,200,2020,改装済み,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,9,6000000,３ＬＤＫ,70,1995,ＲＣ,住宅,住宅,２中住専,60,200,2020,未改装,,,,498,53,891,2,1,4,4,1,0,1,283,162
